date,smp,load,pv
2018-04-07 1:00,89.1,15.073,0
2018-04-07 2:00,87.26,14.499,0
2018-04-07 3:00,86.26,13.592,0
2018-04-07 4:00,87.26,12.656,0
2018-04-07 5:00,87.26,12.459,0
2018-04-07 6:00,89.37,13.383,0.482
2018-04-07 7:00,89.37,15.801,16.392
2018-04-07 8:00,89.38,15.057,53.007
2018-04-07 9:00,89.43,14.439,75.474
2018-04-07 10:00,88.6,12.69,75.16
2018-04-07 11:00,88.47,12.339,101.266
2018-04-07 12:00,85.6,12.229,159.987
2018-04-07 13:00,86.96,11.718,166.158
2018-04-07 14:00,86.96,11.342,150.634
2018-04-07 15:00,86.93,11.453,123.853
2018-04-07 16:00,86.96,13.338,83.766
2018-04-07 17:00,89.36,13.63,36.061
2018-04-07 18:00,89.61,15.162,3.76
2018-04-07 19:00,89.61,17.958,0
2018-04-07 20:00,89.61,19.909,0
2018-04-07 21:00,89,18.798,0
2018-04-07 22:00,89,17.982,0
2018-04-07 23:00,89,16.806,0
2018-04-08 0:00,86.55,16.397,0
2018-04-08 1:00,86.37,16.092,0
2018-04-08 2:00,85.57,14.867,0
2018-04-08 3:00,85.31,13.618,0
2018-04-08 4:00,85.57,13.185,0
2018-04-08 5:00,87.02,13.299,0
2018-04-08 6:00,87.02,14.099,0.892
2018-04-08 7:00,87.02,14.816,20.658
2018-04-08 8:00,86.87,14.414,49.56
2018-04-08 9:00,86.57,16.005,47.487
2018-04-08 10:00,85.44,14.053,32.325
2018-04-08 11:00,85.43,13.369,47.897
2018-04-08 12:00,84.9,14.905,35.459
2018-04-08 13:00,85.23,15.699,27.697
2018-04-08 14:00,85.23,15.25,15.476
2018-04-08 15:00,85.23,14.826,10.679
2018-04-08 16:00,85.93,15.029,0.579
2018-04-08 17:00,87.06,15.567,0.121
2018-04-08 18:00,87.52,17.671,0
2018-04-08 19:00,89.49,20.48,0
2018-04-08 20:00,89.49,20.715,0
2018-04-08 21:00,89.49,19.986,0
2018-04-08 22:00,89.49,17.714,0
2018-04-08 23:00,87.78,16.809,0
2018-04-09 0:00,85.77,14.943,0
2018-04-09 1:00,83.85,13.145,0
2018-04-09 2:00,81.75,12.767,0
2018-04-09 3:00,74.7,12.946,0
2018-04-09 4:00,83.8,12.815,0
2018-04-09 5:00,86.37,13.727,0
2018-04-09 6:00,87.73,15.28,0.024
2018-04-09 7:00,89.97,15.303,4.484
2018-04-09 8:00,92.29,15.389,20.899
2018-04-09 9:00,92.85,12.975,72.316
2018-04-09 10:00,92.85,10.415,128.674
2018-04-09 11:00,92.85,10.322,148.464
2018-04-09 12:00,88.37,11.477,157.865
2018-04-09 13:00,92.32,11.094,153.743
2018-04-09 14:00,93.2,10.48,128.746
2018-04-09 15:00,93.2,10.178,101.29
2018-04-09 16:00,93.67,9.872,67.181
2018-04-09 17:00,93.67,10.58,27.384
2018-04-09 18:00,93.67,14.193,4.05
2018-04-09 19:00,93.67,18.626,0
2018-04-09 20:00,92.76,20.01,0
2018-04-09 21:00,91.93,20.009,0
2018-04-09 22:00,91.93,18.311,0
2018-04-09 23:00,91.77,16.737,0
2018-04-10 0:00,88.13,14.984,0
2018-04-10 1:00,87.7,13.2,0
2018-04-10 2:00,87.7,12.764,0
2018-04-10 3:00,87.7,12.351,0
2018-04-10 4:00,87.63,12.32,0
2018-04-10 5:00,88.05,13.162,0
2018-04-10 6:00,88.23,13.919,1.35
2018-04-10 7:00,92.07,15.094,15.427
2018-04-10 8:00,93.76,14.078,33.482
2018-04-10 9:00,93.93,12.56,94.469
2018-04-10 10:00,93.76,10.823,128.144
2018-04-10 11:00,93.32,10.828,146.512
2018-04-10 12:00,90.65,10.908,130.385
2018-04-10 13:00,93.14,10.118,56.888
2018-04-10 14:00,93.14,9.979,32.012
2018-04-10 15:00,93.17,9.676,28.324
2018-04-10 16:00,93.18,9.917,18.441
2018-04-10 17:00,93.2,11.349,2.531
2018-04-10 18:00,93.21,15.782,0
2018-04-10 19:00,93.22,17.823,0
2018-04-10 20:00,92.18,19.006,0
2018-04-10 21:00,91.91,19.012,0
2018-04-10 22:00,91.64,18.17,0
2018-04-10 23:00,91.68,17.676,0
2018-04-11 0:00,87.79,15.92,0
2018-04-11 1:00,87.79,14.041,0
2018-04-11 2:00,87.63,13.872,0
2018-04-11 3:00,87,12.885,0
2018-04-11 4:00,87.78,12.675,0
2018-04-11 5:00,87.78,13.625,0
2018-04-11 6:00,88.04,14.355,1.253
2018-04-11 7:00,92.87,15.456,20.899
2018-04-11 8:00,93.73,15.367,62.577
2018-04-11 9:00,93.72,12.975,103.026
2018-04-11 10:00,93.71,10.906,132.555
2018-04-11 11:00,93.52,10.498,157.552
2018-04-11 12:00,90.6,10.339,166.471
2018-04-11 13:00,92.99,10.646,160.686
2018-04-11 14:00,92.99,10.313,147.886
2018-04-11 15:00,93,9.415,120.671
2018-04-11 16:00,93.72,10.319,81.018
2018-04-11 17:00,93.74,11.168,35.121
2018-04-11 18:00,93.5,14.765,3.712
2018-04-11 19:00,93.46,17.04,0
2018-04-11 20:00,92.11,16.735,0
2018-04-11 21:00,91.85,17.798,0
2018-04-11 22:00,91.57,18.721,0
2018-04-11 23:00,91.58,17.414,0
2018-04-12 0:00,88.2,15.251,0
2018-04-12 1:00,87.55,13.679,0
2018-04-12 2:00,87.55,12.972,0
2018-04-12 3:00,87.49,12.74,0
2018-04-12 4:00,87.71,12.952,0
2018-04-12 5:00,88.91,13.51,0
2018-04-12 6:00,89.01,13.862,1.374
2018-04-12 7:00,92.04,15.584,19.863
2018-04-12 8:00,93.91,13.549,60.745
2018-04-12 9:00,93.88,12.485,102.327
2018-04-12 10:00,93.85,11.604,124.431
2018-04-12 11:00,92.9,11.138,143.957
2018-04-12 12:00,88.3,11.526,150.875
2018-04-12 13:00,92.48,11.16,158.179
2018-04-12 14:00,92.87,10.51,142.679
2018-04-12 15:00,92.87,10.552,116.043
2018-04-12 16:00,93.55,10.491,76.92
2018-04-12 17:00,93.57,11.785,34.808
2018-04-12 18:00,93.58,13.817,4.218
2018-04-12 19:00,93.62,17.152,0
2018-04-12 20:00,92.84,18.233,0
2018-04-12 21:00,92.09,20.08,0
2018-04-12 22:00,91.65,19.268,0
2018-04-12 23:00,91.66,17.716,0
2018-04-13 0:00,88.3,16.262,0
2018-04-13 1:00,87.37,14.45,0
2018-04-13 2:00,87.43,13.266,0
2018-04-13 3:00,87.43,12.86,0
2018-04-13 4:00,89.75,12.98,0
2018-04-13 5:00,89.75,13.297,0
2018-04-13 6:00,89.5,14.474,0.627
2018-04-13 7:00,92.92,14.406,12.029
2018-04-13 8:00,93.01,13.361,34.085
2018-04-13 9:00,92.91,12.113,64.915
2018-04-13 10:00,92.86,9.995,61.709
2018-04-13 11:00,92.32,10.893,100.567
2018-04-13 12:00,88.55,10.377,73.039
2018-04-13 13:00,92.27,9.853,40.352
2018-04-13 14:00,92.69,9.29,38.327
2018-04-13 15:00,92.54,9.349,35.917
2018-04-13 16:00,93.42,9.814,23.165
2018-04-13 17:00,93.61,10.59,11.137
2018-04-13 18:00,93.66,13.404,1.326
2018-04-13 19:00,93.69,17.034,0
2018-04-13 20:00,92.91,17.63236667,0
2018-04-13 21:00,92.13,18.23073333,0
2018-04-13 22:00,92.06,17.652,0
2018-04-13 23:00,91.62,16.211,0
2018-04-14 0:00,90.34,15.482,0
2018-04-14 1:00,88.44,14.084,0
2018-04-14 2:00,88.04,13.071,0
2018-04-14 3:00,88.04,12.7012,0
2018-04-14 4:00,88.04,12.3314,0
2018-04-14 5:00,88.58,13.038,0
2018-04-14 6:00,89.4,13.511,0
2018-04-14 7:00,90.63,13.529,1.205
2018-04-14 8:00,90.63,14.322,5.327
2018-04-14 9:00,90.08,14.271,9.763
2018-04-14 10:00,90.26,14.712,19.742
2018-04-14 11:00,90.08,14.153,22.996
2018-04-14 12:00,87.25,14.412,12.728
2018-04-14 13:00,87.24,15.3,16.874
2018-04-14 14:00,88.5,13.615,13.403
2018-04-14 15:00,87.69,13.688,35.314
2018-04-14 16:00,88.5,13.78,37.749
2018-04-14 17:00,88.76,13.863,14.704
2018-04-14 18:00,89.45,14.895,0.337
2018-04-14 19:00,89.78,17.63,0
2018-04-14 20:00,89.78,17.587,0
2018-04-14 21:00,89.78,17.763,0
2018-04-14 22:00,89.78,18.54,0
2018-04-14 23:00,89.78,17.248,0
2018-04-15 0:00,87.08,16.358,0
2018-04-15 1:00,87.08,14.788,0
2018-04-15 2:00,85.92,14.174,0
2018-04-15 3:00,85.92,13.646,0
2018-04-15 4:00,85.92,13.224,0
2018-04-15 5:00,86.97,12.76,0
2018-04-15 6:00,86.97,13.032,3.592
2018-04-15 7:00,86.97,13.358,25.817
2018-04-15 8:00,88.26,15.675,54.526
2018-04-15 9:00,88.26,13.543,83.549
2018-04-15 10:00,88.19,12.731,106.666
2018-04-15 11:00,88.19,12.07915,123.419
2018-04-15 12:00,87.93,11.4273,106.618
2018-04-15 13:00,87.93,12.852,124.455
2018-04-15 14:00,87.93,12.966,100.302
2018-04-15 15:00,87.93,14.459,87.743
